sset No,Description,Status,ราคาเช่า,
1369,S62-238,200L,ใช้งาน,200,1
1367,S62-240,200L,ใช้งาน,200,1
1364,S62-243,200L,ใช้งาน,200,1
1361,S62-246,200L,ใช้งาน,200,1
1358,S62-249,200L,ใช้งาน,200,1
1353,S62-254,200L,ใช้งาน,200,1
1352,S62-255,200L,ใช้งาน,200,1
1351,S62-256,200L,ใช้งาน,200,1
1350,S62-257,200L,ใช้งาน,200,1
1532,S62-74,200L,ใช้งาน,200,1
1530,S62-76,200L,ใช้งาน,200,1
1527,S62-79,200L,ใช้งาน,200,1
1524,S62-82,200L,ใช้งาน,200,1
1523,S62-83,200L,ใช้งาน,200,1
1518,S62-88,200L,ใช้งาน,200,1
1515,S62-91,200L,ใช้งาน,200,1
1514,S62-92,200L,ใช้งาน,200,1
1511,S62-95,200L,ใช้งาน,200,1
1510,S62-96,200L,ใช้งาน,200,1
1508,S62-98,200L,ใช้งาน,200,1
1507,S62-99,200L,ใช้งาน,200,1
1346,S63-01,200L,ใช้งาน,200,1
1345,S63-02,200L,ใช้งาน,200,1
1344,S63-03,200L,ใช้งาน,200,1
557,S63-05,200L,ใช้งาน,200,1
1341,S63-06,200L,ใช้งาน,200,1
1340,S63-07,200L,ใช้งาน,200,1
1337,S63-10,200L,ใช้งาน,200,1
1247,S63-100,200L,ใช้งาน,200,1
1243,S63-104,200L,ใช้งาน,200,1
1240,S63-107,200L,ใช้งาน,200,1
1238,S63-109,200L,ใช้งาน,200,1
1336,S63-11,200L,ใช้งาน,200,1
1235,S63-112,200L,ใช้งาน,200,1
1222,S63-126,200L,ใช้งาน,200,1
1221,S63-127,200L,ใช้งาน,200,1
1217,S63-131,200L,ใช้งาน,200,1
1215,S63-133,200L,ใช้งาน,200,1
1214,S63-134,200L,ใช้งาน,200,1
1212,S63-136,200L,ใช้งาน,200,1
1211,S63-137,200L,ใช้งาน,200,1
1210,S63-138,200L,ใช้งาน,200,1
1207,S63-141,200L,ใช้งาน,200,1
1203,S63-145,200L,ใช้งาน,200,1
1201,S63-147,200L,ใช้งาน,200,1
1200,S63-148,200L,ใช้งาน,200,1
1199,S63-149,200L,ใช้งาน,200,1
1332,S63-15,200L,ใช้งาน,200,1
1198,S63-150,200L,ใช้งาน,200,1
1197,S63-151,200L,ใช้งาน,200,1
1196,S63-152,200L,ใช้งาน,200,1
1193,S63-155,200L,ใช้งาน,200,1
1192,S63-156,200L,ใช้งาน,200,1
1190,S63-158,200L,ใช้งาน,200,1
1189,S63-159,200L,ใช้งาน,200,1
1331,S63-16,200L,ใช้งาน,200,1
1188,S63-160,200L,ใช้งาน,200,1
1187,S63-161,200L,ใช้งาน,200,1
1186,S63-162,200L,ใช้งาน,200,1
1184,S63-164,200L,ใช้งาน,200,1
1182,S63-166,200L,ใช้งาน,200,1
1181,S63-167,200L,ใช้งาน,200,1
1180,S63-168,200L,ใช้งาน,200,1
1179,S63-169,200L,ใช้งาน,200,1
1175,S63-173,200L,ใช้งาน,200,1
1171,S63-177,200L,ใช้งาน,200,1
1170,S63-178,200L,ใช้งาน,200,1
1167,S63-181,200L,ใช้งาน,200,1
1166,S63-182,200L,ใช้งาน,200,1
1165,S63-183,200L,ใช้งาน,200,1
1162,S63-186,200L,ใช้งาน,200,1
1160,S63-188,200L,ใช้งาน,200,1
1159,S63-189,200L,ใช้งาน,200,1
1328,S63-19,200L,ใช้งาน,200,1
1156,S63-192,200L,ใช้งาน,200,1
1154,S63-195,200L,ใช้งาน,200,1
1150,S63-199,200L,ใช้งาน,200,1
1327,S63-20,200L,ใช้งาน,200,1
1148,S63-201,200L,ใช้งาน,200,1
1145,S63-204,200L,ใช้งาน,200,1
1144,S63-205,200L,ใช้งาน,200,1
1324,S63-23,200L,ใช้งาน,200,1
1321,S63-26,200L,ใช้งาน,200,1
1319,S63-28,200L,ใช้งาน,200,1
1315,S63-32,200L,ใช้งาน,200,1
1311,S63-36,200L,ใช้งาน,200,1
1310,S63-37,200L,ใช้งาน,200,1
1308,S63-39,200L,ใช้งาน,200,1
1306,S63-41,200L,ใช้งาน,200,1
1305,S63-42,200L,ใช้งาน,200,1
1303,S63-44,200L,ใช้งาน,200,1
1302,S63-45,200L,ใช้งาน,200,1
1301,S63-46,200L,ใช้งาน,200,1
1300,S63-47,200L,ใช้งาน,200,1
1298,S63-49,200L,ใช้งาน,200,1
1297,S63-50,200L,ใช้งาน,200,1
1296,S63-51,200L,ใช้งาน,200,1
1295,S63-52,200L,ใช้งาน,200,1
1294,S63-53,200L,ใช้งาน,200,1
1293,S63-54,200L,ใช้งาน,200,1
1290,S63-57,200L,ใช้งาน,200,1
1289,S63-58,200L,ใช้งาน,200,1
1286,S63-61,200L,ใช้งาน,200,1
1285,S63-62,200L,ใช้งาน,200,1
1284,S63-63,200L,ใช้งาน,200,1
1283,S63-64,200L,ใช้งาน,200,1
1281,S63-66,200L,ใช้งาน,200,1
1278,S63-69,200L,ใช้งาน,200,1
1277,S63-70,200L,ใช้งาน,200,1
1276,S63-71,200L,ใช้งาน,200,1
1274,S63-73,200L,ใช้งาน,200,1
1273,S63-74,200L,ใช้งาน,200,1
1270,S63-77,200L,ใช้งาน,200,1
1265,S63-82,200L,ใช้งาน,200,1
1263,S63-84,200L,ใช้งาน,200,1
1260,S63-87,200L,ใช้งาน,200,1
1259,S63-88,200L,ใช้งาน,200,1
1258,S63-89,200L,ใช้งาน,200,1
1254,S63-93,200L,ใช้งาน,200,1
1250,S63-97,200L,ใช้งาน,200,1
1249,S63-98,200L,ใช้งาน,200,1
1143,S64-01,200L,ใช้งาน,200,1
1142,S64-02,200L,ใช้งาน,200,1
1139,S64-05,200L,ใช้งาน,200,1
1137,S64-07,200L,ใช้งาน,200,1
1135,S64-09,200L,ใช้งาน,200,1
1044,S64-100,200L,ใช้งาน,200,1
1039,S64-105,200L,ใช้งาน,200,1
1036,S64-108,200L,ใช้งาน,200,1
1034,S64-110,200L,ใช้งาน,200,1
485,S64-12,200L,ใช้งาน,200,1
1132,S64-12,200L,ใช้งาน,200,1
1018,S64-126,200L,ใช้งาน,200,1
1131,S64-13,200L,ใช้งาน,200,1
1013,S64-131,200L,ใช้งาน,200,1
1007,S64-137,200L,ใช้งาน,200,1
1006,S64-138,200L,ใช้งาน,200,1
1130,S64-14,200L,ใช้งาน,200,1
1002,S64-142,200L,ใช้งาน,200,1
1000,S64-144,200L,ใช้งาน,200,1
996,S64-148,200L,ใช้งาน,200,1
995,S64-149,200L,ใช้งาน,200,1
994,S64-150,200L,ใช้งาน,200,1
1126,S64-18,200L,ใช้งาน,200,1
1124,S64-20,200L,ใช้งาน,200,1
1123,S64-21,200L,ใช้งาน,200,1
1122,S64-22,200L,ใช้งาน,200,1
1121,S64-23,200L,ใช้งาน,200,1
1120,S64-24,200L,ใช้งาน,200,1
1119,S64-25,200L,ใช้งาน,200,1
1118,S64-26,200L,ใช้งาน,200,1
534,S64-28,200L,ใช้งาน,200,1
1115,S64-29,200L,ใช้งาน,200,1
1114,S64-30,200L,ใช้งาน,200,1
1113,S64-31,200L,ใช้งาน,200,1
1111,S64-33,200L,ใช้งาน,200,1
1109,S64-35,200L,ใช้งาน,200,1
1108,S64-36,200L,ใช้งาน,200,1
1106,S64-38,200L,ใช้งาน,200,1
1105,S64-39,200L,ใช้งาน,200,1
1104,S64-40,200L,ใช้งาน,200,1
1103,S64-41,200L,ใช้งาน,200,1
1101,S64-43,200L,ใช้งาน,200,1
1100,S64-44,200L,ใช้งาน,200,1
1099,S64-45,200L,ใช้งาน,200,1
1097,S64-47,200L,ใช้งาน,200,1
1096,S64-48,200L,ใช้งาน,200,1
1095,S64-49,200L,ใช้งาน,200,1
1090,S64-54,200L,ใช้งาน,200,1
1089,S64-55,200L,ใช้งาน,200,1
1088,S64-56,200L,ใช้งาน,200,1
1086,S64-58,200L,ใช้งาน,200,1
1084,S64-60,200L,ใช้งาน,200,1
1082,S64-62,200L,ใช้งาน,200,1
1080,S64-64,200L,ใช้งาน,200,1
1079,S64-65,200L,ใช้งาน,200,1
1077,S64-67,200L,ใช้งาน,200,1
1074,S64-70,200L,ใช้งาน,200,1
1063,S64-81,200L,ใช้งาน,200,1
1055,S64-89,200L,ใช้งาน,200,1
1053,S64-91,200L,ใช้งาน,200,1
1050,S64-94,200L,ใช้งาน,200,1
1045,S64-99,200L,ใช้งาน,200,1
985,S65-09,200L,ใช้งาน,200,1
598,S65-100,200L,ใช้งาน,200,1
597,S65-101,200L,ใช้งาน,200,1
596,S65-102,200L,ใช้งาน,200,1
595,S65-103,200L,ใช้งาน,200,1
594,S65-104,200L,ใช้งาน,200,1
593,S65-105,200L,ใช้งาน,200,1
592,S65-107,200L,ใช้งาน,200,1
589,S65-111,200L,ใช้งาน,200,1
588,S65-112,200L,ใช้งาน,200,1
587,S65-113,200L,ใช้งาน,200,1
584,S65-116,200L,ใช้งาน,200,1
581,S65-123,200L,ใช้งาน,200,1
580,S65-124,200L,ใช้งาน,200,1
579,S65-125,200L,ใช้งาน,200,1
578,S65-126,200L,ใช้งาน,200,1
575,S65-129,200L,ใช้งาน,200,1
572,S65-141,200L,ใช้งาน,200,1
536,S65-150,200L,ใช้งาน,200,1
360,S65-152,200L,ใช้งาน,200,1
570,S65-158,200L,ใช้งาน,200,1
490,S65-160,200L,ใช้งาน,200,1
349,S65-166,200L,ใช้งาน,200,1
568,S65-170,200L,ใช้งาน,200,1
542,S65-172,200L,ใช้งาน,200,1
543,S65-178,200L,ใช้งาน,200,1
965,S65-29,200L,ใช้งาน,200,1
964,S65-30,200L,ใช้งาน,200,1
962,S65-32,200L,ใช้งาน,200,1
959,S65-35,200L,ใช้งาน,200,1
958,S65-36,200L,ใช้งาน,200,1
957,S65-37,200L,ใช้งาน,200,1
956,S65-38,200L,ใช้งาน,200,1
947,S65-47,200L,ใช้งาน,200,1
946,S65-48,200L,ใช้งาน,200,1
945,S65-49,200L,ใช้งาน,200,1
944,S65-50,200L,ใช้งาน,200,1
943,S65-51,200L,ใช้งาน,200,1
939,S65-55,200L,ใช้งาน,200,1
938,S65-56,200L,ใช้งาน,200,1
929,S65-65,200L,ใช้งาน,200,1
927,S65-67,200L,ใช้งาน,200,1
926,S65-68,200L,ใช้งาน,200,1
923,S65-71,200L,ใช้งาน,200,1
921,S65-73,200L,ใช้งาน,200,1
548,S65-76,200L,ใช้งาน,200,1
538,S65-77,200L,ใช้งาน,200,1
494,S65-79,200L,ใช้งาน,200,1
617,S65-81,200L,ใช้งาน,200,1
353,S65-82,200L,ใช้งาน,200,1
615,S65-83,200L,ใช้งาน,200,1
351,S65-83,200L,ใช้งาน,200,1
613,S65-85,200L,ใช้งาน,200,1
612,S65-86,200L,ใช้งาน,200,1
477,S65-88 แดง,200L,ใช้งาน,200,1
610,S65-88 น้ำเงิน,200L,ใช้งาน,200,1
609,S65-89,200L,ใช้งาน,200,1
608,S65-90,200L,ใช้งาน,200,1
606,S65-92,200L,ใช้งาน,200,1
605,S65-93,200L,ใช้งาน,200,1
603,S65-95,200L,ใช้งาน,200,1
602,S65-96,200L,ใช้งาน,200,1
601,S65-97,200L,ใช้งาน,200,1
599,S65-99,200L,ใช้งาน,200,1
437,S66-01,200L,ใช้งาน,200,1
436,S66-02,200L,ใช้งาน,200,1
435,S66-03,200L,ใช้งาน,200,1
434,S66-04,200L,ใช้งาน,200,1
433,S66-05,200L,ใช้งาน,200,1
431,S66-07,200L,ใช้งาน,200,1
430,S66-08,200L,ใช้งาน,200,1
429,S66-09,200L,ใช้งาน,200,1
427,S66-11,200L,ใช้งาน,200,1
426,S66-12,200L,ใช้งาน,200,1
425,S66-13,200L,ใช้งาน,200,1
424,S66-14,200L,ใช้งาน,200,1
423,S66-15,200L,ใช้งาน,200,1
422,S66-16,200L,ใช้งาน,200,1
421,S66-17,200L,ใช้งาน,200,1
420,S66-18,200L,ใช้งาน,200,1
418,S66-20,200L,ใช้งาน,200,1
417,S66-21,200L,ใช้งาน,200,1
416,S66-22,200L,ใช้งาน,200,1
415,S66-23,200L,ใช้งาน,200,1
414,S66-24,200L,ใช้งาน,200,1
413,S66-25,200L,ใช้งาน,200,1
412,S66-26,200L,ใช้งาน,200,1
410,S66-28,200L,ใช้งาน,200,1
409,S66-29,200L,ใช้งาน,200,1
408,S66-30,200L,ใช้งาน,200,1
406,S66-32,200L,ใช้งาน,200,1
405,S66-33,200L,ใช้งาน,200,1
404,S66-34,200L,ใช้งาน,200,1
403,S66-35,200L,ใช้งาน,200,1
402,S66-36,200L,ใช้งาน,200,1
401,S66-37,200L,ใช้งาน,200,1
400,S66-38,200L,ใช้งาน,200,1
399,S66-39,200L,ใช้งาน,200,1
397,S66-41,200L,ใช้งาน,200,1
396,S66-42,200L,ใช้งาน,200,1
395,S66-43,200L,ใช้งาน,200,1
393,S66-45,200L,ใช้งาน,200,1
392,S66-46,200L,ใช้งาน,200,1
391,S66-47,200L,ใช้งาน,200,1
390,S66-48,200L,ใช้งาน,200,1
389,S66-49,200L,ใช้งาน,200,1
388,S66-50,200L,ใช้งาน,200,1
271,S67-01,200L,ใช้งาน,200,1
270,S67-02,200L,ใช้งาน,200,1
269,S67-03,200L,ใช้งาน,200,1
268,S67-04,200L,ใช้งาน,200,1
260,S67-12,200L,ใช้งาน,200,1
5,S67-121,200L,ใช้งาน,200,1
259,S67-13,200L,ใช้งาน,200,1
257,S67-15,200L,ใช้งาน,200,1
256,S67-16,200L,ใช้งาน,200,1
255,S67-17,200L,ใช้งาน,200,1
252,S67-20,200L,ใช้งาน,200,1
251,S67-21,200L,ใช้งาน,200,1
250,S67-22,200L,ใช้งาน,200,1
248,S67-24,200L,ใช้งาน,200,1
247,S67-25,200L,ใช้งาน,200,1
244,S67-28,200L,ใช้งาน,200,1
242,S67-30,200L,ใช้งาน,200,1
240,S67-32,200L,ใช้งาน,200,1
238,S67-34,200L,ใช้งาน,200,1
235,S67-37,200L,ใช้งาน,200,1
233,S67-39,200L,ใช้งาน,200,1
232,S67-40,200L,ใช้งาน,200,1
231,S67-41,200L,ใช้งาน,200,1
230,S67-42,200L,ใช้งาน,200,1
229,S67-43,200L,ใช้งาน,200,1
225,S67-47,200L,ใช้งาน,200,1
223,S67-49,200L,ใช้งาน,200,1
222,S67-50,200L,ใช้งาน,200,1
138,W24-001,130L,ใช้งาน,150,1
137,W24-002,130L,ใช้งาน,150,1
136,W24-003,130L,ใช้งาน,150,1
135,W24-004,130L,ใช้งาน,150,1
134,W24-005,130L,ใช้งาน,150,1
133,W24-006,130L,ใช้งาน,150,1
132,W24-007,130L,ใช้งาน,150,1
131,W24-008,130L,ใช้งาน,150,1
130,W24-009,130L,ใช้งาน,150,1
129,W24-010,130L,ใช้งาน,150,1
128,W24-011,130L,ใช้งาน,150,1
18,W24-012,130L,ใช้งาน,150,1
20,W24-013,130L,ใช้งาน,150,1
6,W24-014,130L,ใช้งาน,150,1
8,W24-017,130L,ใช้งาน,150,1
17,W24-018,130L,ใช้งาน,150,1
355,วรภัทร 15,,ใช้งาน,150,1
127,A24-001,100L,ใช้งาน,150,1
126,A24-002,100L,ใช้งาน,150,1
125,A24-003,100L,ใช้งาน,150,1
124,A24-004,100L,ใช้งาน,150,1
123,A24-005,100L,ใช้งาน,150,1
122,A24-006,100L,ใช้งาน,150,1
121,A24-007,100L,ใช้งาน,150,1
120,A24-008,100L,ใช้งาน,150,1
119,A24-009,100L,ใช้งาน,150,1
117,A24-011,100L,ใช้งาน,150,1
116,A24-012,100L,ใช้งาน,150,1
115,A24-013,100L,ใช้งาน,150,1
114,A24-014,100L,ใช้งาน,150,1
113,A24-015,100L,ใช้งาน,150,1
112,A24-016,100L,ใช้งาน,150,1
111,A24-017,100L,ใช้งาน,150,1
110,A24-018,100L,ใช้งาน,150,1
109,A24-019,100L,ใช้งาน,150,1
108,A24-020,100L,ใช้งาน,150,1
107,A24-021,100L,ใช้งาน,150,1
106,A24-022,100L,ใช้งาน,150,1
105,A24-023,100L,ใช้งาน,150,1
104,A24-024,100L,ใช้งาน,150,1
102,A24-026,100L,ใช้งาน,150,1
101,A24-027,100L,ใช้งาน,150,1
100,A24-028,100L,ใช้งาน,150,1
98,A24-030,100L,ใช้งาน,150,1
94,A24-034,100L,ใช้งาน,150,1
93,A24-035,100L,ใช้งาน,150,1
92,A24-036,100L,ใช้งาน,150,1
90,A24-038,100L,ใช้งาน,150,1
89,A24-039,100L,ใช้งาน,150,1
87,A24-041,100L,ใช้งาน,150,1
85,A24-043,100L,ใช้งาน,150,1
83,A24-045,100L,ใช้งาน,150,1
2142,A61-02,100L,ไม่ใช้งาน,150,0
2141,A61-03,100L,ไม่ใช้งาน,150,0
2140,A61-04,100L,ไม่ใช้งาน,150,0
2135,A61-09,100L,ไม่ใช้งาน,150,0
2134,A61-10,100L,ใช้งาน,150,1
2133,A61-11,100L,ไม่ใช้งาน,150,0
2132,A61-12,100L,ไม่ใช้งาน,150,0
2131,A61-13,100L,ไม่ใช้งาน,150,0
2130,A61-14,100L,ไม่ใช้งาน,150,0
2129,A61-15,100L,ไม่ใช้งาน,150,0
2127,A61-17,100L,ไม่ใช้งาน,150,0
2125,A61-19,100L,ไม่ใช้งาน,150,0
2122,A61-22,100L,ไม่ใช้งาน,150,0
2121,A61-23,100L,ไม่ใช้งาน,150,0
2120,A61-24,100L,ไม่ใช้งาน,150,0
2119,A61-25,100L,ไม่ใช้งาน,150,0
2118,A61-26,100L,ไม่ใช้งาน,150,0
2117,A61-28,100L,ไม่ใช้งาน,150,0
2116,A61-29,100L,ไม่ใช้งาน,150,0
2113,A61-32,100L,ไม่ใช้งาน,150,0
2112,A61-33,100L,ไม่ใช้งาน,150,0
2111,A61-34,100L,ใช้งาน,150,1
2110,A61-35,100L,ใช้งาน,150,1
2107,A61-38,100L,ไม่ใช้งาน,150,0
2106,A61-39,100L,ไม่ใช้งาน,150,0
2105,A61-40,100L,ไม่ใช้งาน,150,0
2104,A61-41,100L,ไม่ใช้งาน,150,0
2103,A61-42,100L,ไม่ใช้งาน,150,0
2102,A61-43,100L,ไม่ใช้งาน,150,0
2100,A61-45,100L,ไม่ใช้งาน,150,0
2098,A61-47,100L,ไม่ใช้งาน,150,0
2096,A61-49,100L,ไม่ใช้งาน,150,0
2095,A61-50,100L,ไม่ใช้งาน,150,0
2094,A61-51,100L,ไม่ใช้งาน,150,0
2093,A61-52,100L,ไม่ใช้งาน,150,0
2092,A61-53,100L,ไม่ใช้งาน,150,0
2091,A61-54,100L,ไม่ใช้งาน,150,0
2090,A61-55,100L,ไม่ใช้งาน,150,0
2089,A61-56,100L,ไม่ใช้งาน,150,0
2088,A61-57,100L,ไม่ใช้งาน,150,0
2087,A61-58,100L,ไม่ใช้งาน,150,0
2086,A61-59,100L,ไม่ใช้งาน,150,0
2085,A61-60,100L,ไม่ใช้งาน,150,0
2083,A62-02,100L,ไม่ใช้งาน,150,0
2082,A62-03,100L,ไม่ใช้งาน,150,0
2079,A62-06,100L,ไม่ใช้งาน,150,0
2078,A62-07,100L,ไม่ใช้งาน,150,0
2075,A62-10,100L,ไม่ใช้งาน,150,0
1985,A62-100,100L,ไม่ใช้งาน,150,0
1983,A62-102,100L,ไม่ใช้งาน,150,0
1982,A62-103,100L,ไม่ใช้งาน,150,0
1981,A62-104,100L,ไม่ใช้งาน,150,0
1980,A62-105,100L,ใช้งาน,150,1
1979,A62-106,100L,ไม่ใช้งาน,150,0
1978,A62-107,100L,ไม่ใช้งาน,150,0
1977,A62-108,100L,ไม่ใช้งาน,150,0
1976,A62-109,100L,ไม่ใช้งาน,150,0
2074,A62-11,100L,ไม่ใช้งาน,150,0
1975,A62-110,100L,ไม่ใช้งาน,150,0
1973,A62-112,100L,ไม่ใช้งาน,150,0
1972,A62-113,100L,ใช้งาน,150,1
1971,A62-114,100L,ไม่ใช้งาน,150,0
1969,A62-116,100L,ไม่ใช้งาน,150,0
1968,A62-117,100L,ไม่ใช้งาน,150,0
2073,A62-12,100L,ใช้งาน,150,1
2068,A62-17,100L,ไม่ใช้งาน,150,0
2066,A62-19,100L,ไม่ใช้งาน,150,0
2065,A62-20,100L,ไม่ใช้งาน,150,0
2064,A62-21,100L,ไม่ใช้งาน,150,0
2059,A62-26,100L,ไม่ใช้งาน,150,0
2058,A62-27,100L,ไม่ใช้งาน,150,0
2057,A62-28,100L,ไม่ใช้งาน,150,0
2053,A62-32,100L,ไม่ใช้งาน,150,0
2052,A62-33,100L,ไม่ใช้งาน,150,0
2051,A62-34,100L,ไม่ใช้งาน,150,0
2050,A62-35,100L,ไม่ใช้งาน,150,0
2049,A62-36,100L,ไม่ใช้งาน,150,0
2048,A62-37,100L,ไม่ใช้งาน,150,0
2047,A62-38,100L,ไม่ใช้งาน,150,0
2045,A62-40,100L,ไม่ใช้งาน,150,0
2044,A62-41,100L,ไม่ใช้งาน,150,0
2042,A62-43,100L,ไม่ใช้งาน,150,0
2041,A62-44,100L,ไม่ใช้งาน,150,0
2038,A62-47,100L,ไม่ใช้งาน,150,0
2037,A62-48,100L,ไม่ใช้งาน,150,0
2035,A62-50,100L,ไม่ใช้งาน,150,0
2034,A62-51,100L,ไม่ใช้งาน,150,0
2033,A62-52,100L,ไม่ใช้งาน,150,0
2031,A62-54,100L,ไม่ใช้งาน,150,0
2030,A62-55,100L,ไม่ใช้งาน,150,0
2029,A62-56,100L,ไม่ใช้งาน,150,0
2027,A62-58,100L,ไม่ใช้งาน,150,0
2026,A62-59,100L,ไม่ใช้งาน,150,0
2024,A62-61,100L,ไม่ใช้งาน,150,0
2023,A62-62,100L,ไม่ใช้งาน,150,0
2022,A62-63,100L,ไม่ใช้งาน,150,0
2021,A62-64,100L,ไม่ใช้งาน,150,0
2019,A62-66,100L,ไม่ใช้งาน,150,0
2018,A62-67,100L,ไม่ใช้งาน,150,0
2017,A62-68,100L,ไม่ใช้งาน,150,0
2015,A62-70,100L,ไม่ใช้งาน,150,0
2013,A62-72,100L,ไม่ใช้งาน,150,0
2012,A62-73,100L,ไม่ใช้งาน,150,0
2011,A62-74,100L,ใช้งาน,150,1
2010,A62-75,100L,ไม่ใช้งาน,150,0
2009,A62-76,100L,ไม่ใช้งาน,150,0
2007,A62-78,100L,ไม่ใช้งาน,150,0
2005,A62-80,100L,ไม่ใช้งาน,150,0
2003,A62-82,100L,ไม่ใช้งาน,150,0
1998,A62-87,100L,ใช้งาน,150,1
1997,A62-88,100L,ไม่ใช้งาน,150,0
1993,A62-92,100L,ไม่ใช้งาน,150,0
1990,A62-95,100L,ไม่ใช้งาน,150,0
1989,A62-96,100L,ไม่ใช้งาน,150,0
1988,A62-97,100L,ไม่ใช้งาน,150,0
1987,A62-98,100L,ไม่ใช้งาน,150,0
1986,A62-99,100L,ใช้งาน,150,1
1964,A63-01,100L,ไม่ใช้งาน,150,0
1962,A63-03,100L,ไม่ใช้งาน,150,0
1959,A63-06,100L,ไม่ใช้งาน,150,0
1957,A63-08,100L,ไม่ใช้งาน,150,0
1955,A63-10,100L,ใช้งาน,150,1
1866,A63-100,100L,ไม่ใช้งาน,150,0
1865,A63-101,100L,ไม่ใช้งาน,150,0
1863,A63-103,100L,ไม่ใช้งาน,150,0
1860,A63-106,100L,ใช้งาน,150,1
1857,A63-109,100L,ไม่ใช้งาน,150,0
1954,A63-11,100L,ไม่ใช้งาน,150,0
1856,A63-110,100L,ไม่ใช้งาน,150,0
1855,A63-111,100L,ไม่ใช้งาน,150,0
1854,A63-112,100L,ไม่ใช้งาน,150,0
1852,A63-114,100L,ไม่ใช้งาน,150,0
1849,A63-117,100L,ไม่ใช้งาน,150,0
1847,A63-119,100L,ไม่ใช้งาน,150,0
493,A63-120,100L,ไม่ใช้งาน,150,0
1845,A63-121,100L,ไม่ใช้งาน,150,0
1844,A63-122,100L,ไม่ใช้งาน,150,0
1842,A63-124,100L,ไม่ใช้งาน,150,0
1841,A63-125,100L,ไม่ใช้งาน,150,0
1839,A63-127,100L,ไม่ใช้งาน,150,0
1838,A63-128,100L,ไม่ใช้งาน,150,0
1837,A63-129,100L,ไม่ใช้งาน,150,0
1952,A63-13,100L,ไม่ใช้งาน,150,0
1835,A63-131,100L,ไม่ใช้งาน,150,0
1833,A63-133,100L,ไม่ใช้งาน,150,0
1832,A63-134,100L,ไม่ใช้งาน,150,0
1831,A63-135,100L,ไม่ใช้งาน,150,0
1827,A63-139,100L,ใช้งาน,150,1
1825,A63-141,100L,ไม่ใช้งาน,150,0
1824,A63-142,100L,ไม่ใช้งาน,150,0
1822,A63-144,100L,ไม่ใช้งาน,150,0
1821,A63-145,100L,ไม่ใช้งาน,150,0
1820,A63-146,100L,ไม่ใช้งาน,150,0
1819,A63-147,100L,ไม่ใช้งาน,150,0
1816,A63-150,100L,ไม่ใช้งาน,150,0
1815,A63-151,100L,ไม่ใช้งาน,150,0
1814,A63-152,100L,ใช้งาน,150,1
1813,A63-153,100L,ไม่ใช้งาน,150,0
1811,A63-155,100L,ใช้งาน,150,1
1808,A63-158,100L,ไม่ใช้งาน,150,0
1806,A63-160,100L,ไม่ใช้งาน,150,0
1948,A63-17,100L,ไม่ใช้งาน,150,0
1947,A63-18,100L,ไม่ใช้งาน,150,0
1945,A63-20,100L,ไม่ใช้งาน,150,0
1944,A63-21,100L,ไม่ใช้งาน,150,0
1943,A63-22,100L,ไม่ใช้งาน,150,0
1939,A63-26,100L,ไม่ใช้งาน,150,0
1938,A63-27,100L,ไม่ใช้งาน,150,0
1936,A63-29,100L,ไม่ใช้งาน,150,0
1932,A63-34,100L,ไม่ใช้งาน,150,0
1924,A63-42,100L,ไม่ใช้งาน,150,0
1923,A63-43,100L,ไม่ใช้งาน,150,0
1920,A63-46,100L,ไม่ใช้งาน,150,0
1919,A63-47,100L,ไม่ใช้งาน,150,0
1918,A63-48,100L,ใช้งาน,150,1
1916,A63-50,100L,ไม่ใช้งาน,150,0
1913,A63-53,100L,ใช้งาน,150,1
1910,A63-56,100L,ไม่ใช้งาน,150,0
1907,A63-59,100L,ไม่ใช้งาน,150,0
1906,A63-60,100L,ใช้งาน,150,1
1903,A63-63,100L,ไม่ใช้งาน,150,0
1901,A63-65,100L,ไม่ใช้งาน,150,0
1899,A63-67,100L,ไม่ใช้งาน,150,0
1898,A63-68,100L,ใช้งาน,150,1
1897,A63-69,100L,ไม่ใช้งาน,150,0
1896,A63-70,100L,ไม่ใช้งาน,150,0
1892,A63-74,100L,ไม่ใช้งาน,150,0
1889,A63-77,100L,ไม่ใช้งาน,150,0
1886,A63-80,100L,ใช้งาน,150,1
1881,A63-85,100L,ไม่ใช้งาน,150,0
1879,A63-87,100L,ไม่ใช้งาน,150,0
1878,A63-88,100L,ไม่ใช้งาน,150,0
1874,A63-92,100L,ไม่ใช้งาน,150,0
1873,A63-93,100L,ไม่ใช้งาน,150,0
1869,A63-97,100L,ไม่ใช้งาน,150,0
1867,A63-99,100L,ไม่ใช้งาน,150,0
1805,A64-01,100L,ไม่ใช้งาน,150,0
1803,A64-03,100L,ใช้งาน,150,1
1802,A64-04,100L,ไม่ใช้งาน,150,0
1801,A64-05,100L,ไม่ใช้งาน,150,0
1799,A64-07,100L,ไม่ใช้งาน,150,0
1798,A64-08,100L,ไม่ใช้งาน,150,0
1796,A64-10,100L,ไม่ใช้งาน,150,0
1705,A64-101,100L,ไม่ใช้งาน,150,0
1703,A64-103,100L,ไม่ใช้งาน,150,0
1702,A64-104,100L,ไม่ใช้งาน,150,0
352,A64-105,100L,ไม่ใช้งาน,150,0
1699,A64-107,100L,ไม่ใช้งาน,150,0
1698,A64-108,100L,ไม่ใช้งาน,150,0
1697,A64-109,100L,ไม่ใช้งาน,150,0
1795,A64-11,100L,ไม่ใช้งาน,150,0
1695,A64-111,100L,ไม่ใช้งาน,150,0
