sset No,Description,Status,ราคาเช่า,
1900,A63-66,100L,ใช้งาน,150,1
1895,A63-71,100L,ใช้งาน,150,1
1894,A63-72,100L,ใช้งาน,150,1
1893,A63-73,100L,ใช้งาน,150,1
1891,A63-75,100L,ใช้งาน,150,1
1890,A63-76,100L,ใช้งาน,150,1
1888,A63-78,100L,ใช้งาน,150,1
1887,A63-79,100L,ใช้งาน,150,1
1885,A63-81,100L,ใช้งาน,150,1
1884,A63-82,100L,ใช้งาน,150,1
1883,A63-83,100L,ใช้งาน,150,1
1882,A63-84,100L,ใช้งาน,150,1
1880,A63-86,100L,ใช้งาน,150,1
1877,A63-89,100L,ใช้งาน,150,1
1876,A63-90,100L,ใช้งาน,150,1
1875,A63-91,100L,ใช้งาน,150,1
1872,A63-94,100L,ใช้งาน,150,1
1871,A63-95,100L,ใช้งาน,150,1
1870,A63-96,100L,ใช้งาน,150,1
1868,A63-98,100L,ใช้งาน,150,1
1804,A64-02,100L,ใช้งาน,150,1
1800,A64-06,100L,ใช้งาน,150,1
1797,A64-09,100L,ใช้งาน,150,1
1706,A64-100,100L,ใช้งาน,150,1
1704,A64-102,100L,ใช้งาน,150,1
1701,A64-105,100L,ใช้งาน,150,1
1700,A64-106,100L,ใช้งาน,150,1
1696,A64-110,100L,ใช้งาน,150,1
1688,A64-118,100L,ใช้งาน,150,1
1687,A64-119,100L,ใช้งาน,150,1
1794,A64-12,100L,ใช้งาน,150,1
1683,A64-123,100L,ใช้งาน,150,1
1679,A64-127,100L,ใช้งาน,150,1
1674,A64-132,100L,ใช้งาน,150,1
1667,A64-139,100L,ใช้งาน,150,1
1792,A64-14,100L,ใช้งาน,150,1
1666,A64-140,100L,ใช้งาน,150,1
1789,A64-17,100L,ใช้งาน,150,1
1784,A64-22,100L,ใช้งาน,150,1
1782,A64-24,100L,ใช้งาน,150,1
1781,A64-25,100L,ใช้งาน,150,1
1780,A64-26,100L,ใช้งาน,150,1
1778,A64-28,100L,ใช้งาน,150,1
1774,A64-32,100L,ใช้งาน,150,1
1773,A64-33,100L,ใช้งาน,150,1
1771,A64-35,100L,ใช้งาน,150,1
1770,A64-36,100L,ใช้งาน,150,1
1768,A64-38,100L,ใช้งาน,150,1
1767,A64-39,100L,ใช้งาน,150,1
1764,A64-42,100L,ใช้งาน,150,1
1761,A64-45,100L,ใช้งาน,150,1
1760,A64-46,100L,ใช้งาน,150,1
1757,A64-49,100L,ใช้งาน,150,1
1753,A64-53,100L,ใช้งาน,150,1
1752,A64-54,100L,ใช้งาน,150,1
1751,A64-55,100L,ใช้งาน,150,1
1747,A64-59,100L,ใช้งาน,150,1
1745,A64-61,100L,ใช้งาน,150,1
1744,A64-62,100L,ใช้งาน,150,1
1743,A64-63,100L,ใช้งาน,150,1
1742,A64-64,100L,ใช้งาน,150,1
1740,A64-66,100L,ใช้งาน,150,1
1734,A64-72,100L,ใช้งาน,150,1
1662,A65-04,100L,ใช้งาน,150,1
1660,A65-06,100L,ใช้งาน,150,1
1659,A65-07,100L,ใช้งาน,150,1
1657,A65-09,100L,ใช้งาน,150,1
1645,A65-21,100L,ใช้งาน,150,1
555,A65-22,100L,ใช้งาน,150,1
1642,A65-24,100L,ใช้งาน,150,1
1637,A65-29,100L,ใช้งาน,150,1
495,A65-36,100L,ใช้งาน,150,1
